"","id_deputado","receita_total_eleicoes","tipo_receita","nome_parlamentar","uf","partido_atual","profissao","total_bens","tipo_bem","total_despesas_eleicoes","id_municipio","votos","anos","mandatos","causa_fimdescr"
"500",74269,,,"Enéas","SP","PR",196,,,,,,0.257357973990418,1,"Falecimento"
"501",74270,,,"Gilberto Nascimento","SP","PMDB",436,,,,,,,,
"502",74271,,,"Ildeu Araujo","SP","S.PART.",436,,,,,,,,
"503",74272,,,"Jamil Murad","SP","PCDOB",436,,,,,,,,
"504",74273,516924.26,"RECURSOS DE PESSOAS FÍSICAS","Jefferson Campos","SP","PSD",141,959616.5,12,516363.51,3500105,76,,1,""
"505",74274,,,"José Eduardo Cardozo","SP","PT",199,,,,,,3.91512662559891,1,"Ministro de Estado"
"506",74275,2531677.61,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","José Mentor","SP","PT",199,3801548.89,1,2787719.39,3500105,203,,1,""
"507",74276,,,"Jovino Cândido","SP","PV",436,,,,3500303,1,,,
"508",74277,344213.18,"RECURSOS PRÓPRIOS","Lobbe Neto","SP","PSDB",169,1412776.35,11,344213.18,3500105,63,3.99726214921287,1,"Término da Legislatura"
"509",74278,436830.81,"RECURSOS PRÓPRIOS","Marcelo Ortiz","SP","PV",199,6070139.57,11,436830.81,3500105,1,3.99726214921287,1,"Término da Legislatura"
"510",74279,,,"Marcos Abraão","SP","PFL",436,,,,,,,,
"511",74280,,,"Professor Irapuan Teixeira","SP","PRONA",436,,,,,,,,
"512",74281,,,"Roberto Gouveia","SP","PT",436,,,,,,,,
"513",74282,,,"Vanderlei Assis","SP","PRONA",436,,,,,,,,
"514",74283,1148078.81,"RECURSOS DE PESSOAS JURÍDICAS","Vicentinho","SP","PT",346,798606,11,1148068.37,3500105,2,,1,""
"515",74284,3993150.78,"RECURSOS DE PESSOAS JURÍDICAS","Walter Feldman","SP","PSB",196,754721.6,21,3986532.59,3500105,4,,4,"Secretário de Prefeitura de Capital"
"516",74285,,,"Carlos Abicalil","MT","PT",419,,,,,,3.99726214921287,1,"Término da Legislatura"
"517",74286,,,"Thelma De Oliveira","MT","PSDB",54,,,,,,3.3347022587269,3,"Licença Conjunta Consecutiva"
"518",74287,,,"José Roberto Arruda","DF","PFL",436,,,,530010,141,,,
"519",74288,,,"Maninha","DF","PT",436,,,,,,,,
"520",74289,,,"Tatico","GO","PTB",160,,,,,,3.99726214921287,1,"Término da Legislatura"
"521",74290,3851367,"RECURSOS PRÓPRIOS","Carlos Alberto Leréia","GO","PSDB",372,4050047.91,11,3849398.41,5200050,99,,1,""
