id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
73569,Jorge Dos Reis Pinheiro,M,GO,PRB,172,75,Ensino médio completo,PRB,S,1966-10-12,,1999,,146692.34000000003,470.7699999999999,146311.56999999998
73570,Ivanio Guerra,,PR,PFL,436,,,,,,,1991,,0,0,0
73571,Osvaldo Sobrinho,,,,436,,,,,,,1999,,0,0,0
73572,João Magno,,MG,PT,436,,,,,,,1999,,0,0,0
73573,Yvonilton Gonçalves,,BA,PFL,436,,,,,,,1999,,0,0,0
73574,Reginaldo Germano,,BA,PFL,436,,,,,,,1999,,0,0,0
73575,Joel De Hollanda,,PE,PFL,436,,,,,,,1999,,0,0,0
73576,Paulo De Almeida,,RJ,PFL,436,245,Superior completo,PDT,,1950-07-12,,1991,,0,0,0
73577,Tarcisio João Zimermmann,M,RS,PT,230,,,,V,1954-07-24,,1999,,0,0,0
73578,Ricardo Maranhão,,,PSB,436,,,,,,,1999,,0,0,0
73579,João Alberto Fraga Silva,M,DF,DEM,77,,,,E,1956-06-02,,1999,2007-04-23,260753.13000000012,36.78,260716.35000000012
73580,Ricardo Noronha,,,,436,,,,,,,1999,,0,0,0
73581,Aloízio Santos,,,,436,,,,,,,1999,,0,0,0
73582,Helenildo Ribeiro,,AL,PSDB,436,,,,,,,1999,,0,0,0
73583,Carlos Cury,,RO,PPB,436,,,,,,,1999,,0,0,0
73584,Antonio Carlos De Mendes Thame,M,SP,PSDB,382,398,Superior completo,PSDB,E,1946-06-13,,1999,,1015310.8900000065,28042.81000000002,976423.5400000066
73585,Clovis Volpi,,,,436,,,,,,,1999,,0,0,0
73586,Júlio César Delgado,M,MG,PSB,417,26,Superior completo,PSB,E,1966-11-18,,1999,,1380613.3899999876,4325.37,1375929.2099999858
73587,José Aleksandro,,AC,PSL,436,,,,,,,1999,,0,0,0
73588,Carlos Mauro Cabral Benevides,M,CE,PMDB,183,26,Superior completo,PMDB,E,1930-03-21,,1999,,1605225.7499999998,2857.2599999999993,1602368.49
73589,Antonio Jose Mota,,CE,PMDB,436,,,,,,,1999,,0,0,0
73591,Renato Silva,,,,436,,,,,,,1999,,0,0,0
